C, r, R, R, R, L, L, R, R, L, R, L	0	 at 	-0.094941964			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, L, R, R	0	 at 	-0.094942278			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, R, L, R, R		 at 	-0.094942592	
C, r, R, R, R, L, L, R, L, L, R, R		 at 	-0.094963316	
C, r, R, R, R, L, L, R, L, L, R, R	0	 at 	-0.094963473			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, L, R, L	0	 at 	-0.094963787			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, L, R, L		 at 	-0.094963944	
C, r, R, R, R, L, L, R, L, L, L, L		 at 	-0.0949652	
C, r, R, R, R, L, L, R, L, L, L, R		 at 	-0.094965514	
C, r, R, R, R, L, L, R, L, R, L, R		 at 	-0.094970224	
C, r, R, R, R, L, L, R, L, R, L, R	0	 at 	-0.094970381			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, R, L, R	0	 at 	-0.094970538			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, R, L, L		 at 	-0.094970695	
C, r, R, R, R, L, L, R, L, R, R, L		 at 	-0.094972422	
C, r, R, R, R, L, L, R, L, R, R, L	0	 at 	-0.094972579			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, R, R, R	0	 at 	-0.09497305			PREZERO after 12 iterates
C, r, R, R, R, L, L, R, L, R, R, R		 at 	-0.094973364	
C, r, R, R, R, L, L, R, r, R, R, R		 at 	-0.095000839	
C, r, R, R, R, L, L, L, r, R, R, R		 at 	-0.095006962	
C, r, R, R, R, L, L, L, L, R, R, R		 at 	-0.09503114	
C, r, R, R, R, L, L, L, L, R, R, R	0	 at 	-0.095031297			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, R, R, L	0	 at 	-0.095031768			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, R, R, L		 at 	-0.095031925	
C, r, R, R, R, L, L, L, L, R, L, L		 at 	-0.095033181	
C, r, R, R, R, L, L, L, L, R, L, L	0	 at 	-0.095033338			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, R, L, R	0	 at 	-0.095033495			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, R, L, R		 at 	-0.095033652	
C, r, R, R, R, L, L, L, L, L, L, R		 at 	-0.095037106	
C, r, R, R, R, L, L, L, L, L, L, R	0	 at 	-0.095037263			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, L, L, L		 at 	-0.09503742	
C, r, R, R, R, L, L, L, L, L, R, L		 at 	-0.095038362	
C, r, R, R, R, L, L, L, L, L, R, L	0	 at 	-0.095038519			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, L, R, R	0	 at 	-0.095038676			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, L, L, R, R		 at 	-0.095038833	
C, r, R, R, R, L, L, L, R, L, R, R		 at 	-0.095052806	
C, r, R, R, R, L, L, L, R, L, R, R	0	 at 	-0.095052963			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, L, R, L	0	 at 	-0.095053277			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, L, R, L		 at 	-0.095053434	
C, r, R, R, R, L, L, L, R, L, L, L		 at 	-0.09505469	
C, r, R, R, R, L, L, L, R, L, L, L	0	 at 	-0.095054847			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, L, L, R		 at 	-0.095055004	
C, r, R, R, R, L, L, L, R, R, L, R		 at 	-0.095060028	
C, r, R, R, R, L, L, L, R, R, L, R	0	 at 	-0.095060185			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, R, L, L	0	 at 	-0.095060499			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, R, L, L		 at 	-0.095060656	
C, r, R, R, R, L, L, L, R, R, R, L		 at 	-0.095063011	
C, r, R, R, R, L, L, L, R, R, R, L	0	 at 	-0.095063168			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, R, R, R	0	 at 	-0.095063796			PREZERO after 12 iterates
C, r, R, R, R, L, L, L, R, R, R, R		 at 	-0.095064267	
C, r, R, R, R, L, L, r, R, R, R, R		 at 	-0.09515203	
C, r, R, R, R, L, L, r, R, R, R, R	0	 at 	-0.095156112			PREZERO after 12 iterates
C, r, R, R, R, L, L, r, R, R, R, L	0	 at 	-0.095163962			PREZERO after 12 iterates
C, r, R, R, R, L, L, r, R, R, R, L		 at 	-0.095173539	
C, r, R, R, R, L, R, r, R, R, R, L		 at 	-0.095173696	
C, r, R, R, R, L, R, r, R, R, R, L	0	 at 	-0.09518343			PREZERO after 12 iterates
C, r, R, R, R, L, R, r, R, R, R, R	0	 at 	-0.09519128			PREZERO after 12 iterates
C, r, R, R, R, L, R, r, R, R, R, R		 at 	-0.095195519	
C, r, R, R, R, L, R, L, R, R, R, R		 at 	-0.095291446	
C, r, R, R, R, L, R, L, R, R, R, R	0	 at 	-0.095291917			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, R, R, L	0	 at 	-0.095292702			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, R, R, L		 at 	-0.095293016	
C, r, R, R, R, L, R, L, R, R, L, L		 at 	-0.095295685	
C, r, R, R, R, L, R, L, R, R, L, L	0	 at 	-0.095295842			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, R, L, R	0	 at 	-0.095296156			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, R, L, R		 at 	-0.09529647	
C, r, R, R, R, L, R, L, R, L, L, R		 at 	-0.095302436	
C, r, R, R, R, L, R, L, R, L, L, L	0	 at 	-0.09530275			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, L, L, L		 at 	-0.095302907	
C, r, R, R, R, L, R, L, R, L, R, L		 at 	-0.09530432	
C, r, R, R, R, L, R, L, R, L, R, L	0	 at 	-0.095304477			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, L, R, R	0	 at 	-0.095304791			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, R, L, R, R		 at 	-0.095304948	
C, r, R, R, R, L, R, L, L, L, R, R		 at 	-0.095321747	
C, r, R, R, R, L, R, L, L, L, R, R	0	 at 	-0.095321904			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, L, R, L	0	 at 	-0.095322218			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, L, R, L		 at 	-0.095322375	
C, r, R, R, R, L, R, L, L, L, L, L		 at 	-0.095323474	
C, r, R, R, R, L, R, L, L, L, L, L	0	 at 	-0.095323631			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, L, L, R		 at 	-0.095323788	
C, r, R, R, R, L, R, L, L, R, L, R		 at 	-0.095328184	
C, r, R, R, R, L, R, L, L, R, L, R	0	 at 	-0.095328341			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, R, L, R	0	 at 	-0.095328498			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, R, L, L		 at 	-0.095328655	
C, r, R, R, R, L, R, L, L, R, R, L		 at 	-0.095330382	
C, r, R, R, R, L, R, L, L, R, R, L	0	 at 	-0.095330539			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, R, R, R	0	 at 	-0.09533101			PREZERO after 12 iterates
C, r, R, R, R, L, R, L, L, R, R, R		 at 	-0.095331324	
C, r, R, R, R, L, R, L, r, R, R, R		 at 	-0.09536084	
C, r, R, R, R, L, R, R, r, R, R, R		 at 	-0.095371045	
C, r, R, R, R, L, R, R, L, R, R, R		 at 	-0.095407155	
C, r, R, R, R, L, R, R, L, R, R, R	0	 at 	-0.095407469			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, R, R, L	0	 at 	-0.095408097			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, R, R, L		 at 	-0.095408411	
C, r, R, R, R, L, R, R, L, R, L, L		 at 	-0.095410923	
C, r, R, R, R, L, R, R, L, R, L, L	0	 at 	-0.09541108			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, R, L, R	0	 at 	-0.095411394			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, R, L, R		 at 	-0.095411551	
C, r, R, R, R, L, R, R, L, L, L, R		 at 	-0.095418145	
C, r, R, R, R, L, R, R, L, L, L, R	0	 at 	-0.095418302			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, L, L, L	0	 at 	-0.095418616			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, L, L, L		 at 	-0.095418773	
C, r, R, R, R, L, R, R, L, L, R, L		 at 	-0.0954205	
C, r, R, R, R, L, R, R, L, L, R, L	0	 at 	-0.095420657			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, L, R, R	0	 at 	-0.095421128			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, L, L, R, R		 at 	-0.095421442	
C, r, R, R, R, L, R, R, R, L, R, R		 at 	-0.095452057	
C, r, R, R, R, L, R, R, R, L, R, R	0	 at 	-0.095452528			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, L, R, L	0	 at 	-0.095453156			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, L, R, L		 at 	-0.09545347	
C, r, R, R, R, L, R, R, R, L, L, L		 at 	-0.095456453	
C, r, R, R, R, L, R, R, R, L, L, L	0	 at 	-0.095456767			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, L, L, R	0	 at 	-0.095457238			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, L, L, R		 at 	-0.095457552	
C, r, R, R, R, L, R, R, R, R, L, R		 at 	-0.095471211	
C, r, R, R, R, L, R, R, R, R, L, R	0	 at 	-0.095471839			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, R, L, L	0	 at 	-0.095472624			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, R, L, L		 at 	-0.095473095	
C, r, R, R, R, L, R, R, R, R, R, L		 at 	-0.095479846	
C, r, R, R, R, L, R, R, R, R, R, L	0	 at 	-0.095480631			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, R, R, R	0	 at 	-0.095482672			PREZERO after 12 iterates
C, r, R, R, R, L, R, R, R, R, R, R		 at 	-0.095484085	
C, r, R, R, R, r, R, R, R, R, R, R		 at 	-0.096570054	
C, r, R, R, R, r, R, R, R, R, R, R	0	 at 	-0.096575863			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, R, R, L	0	 at 	-0.09658387			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, R, R, L		 at 	-0.096587167	
C, r, R, R, R, r, R, R, R, R, L, L		 at 	-0.096616683	
C, r, R, R, R, r, R, R, R, R, L, L	0	 at 	-0.096618567			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, R, L, R	0	 at 	-0.096622492			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, R, L, R		 at 	-0.096624847	
C, r, R, R, R, r, R, R, R, L, L, R		 at 	-0.096696282	
C, r, R, R, R, r, R, R, R, L, L, R	0	 at 	-0.096698009			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, L, L, L	0	 at 	-0.096700835			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, L, L, L		 at 	-0.096702248	
C, r, R, R, R, r, R, R, R, L, R, L		 at 	-0.096720931	
C, r, R, R, R, r, R, R, R, L, R, L	0	 at 	-0.096722815			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, L, R, R	0	 at 	-0.096727054			PREZERO after 12 iterates
C, r, R, R, R, r, R, R, R, L, R, R		 at 	-0.09672988	
C, r, R, R, R, r, R, R, R, r, R, R		 at 	-0.096943243	
C, r, R, R, L, r, R, R, R, r, R, R		 at 	-0.097002432	
