C, r, R, R, R, R, r, R, R, R, R, R, R, L, L, L		 at 	-0.094318674	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R, L		 at 	-0.094319459	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R, R	0	 at 	-0.094319616			PREZERO after 16 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R, R		 at 	-0.094319773	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, R, R		 at 	-0.094327309	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, R, L		 at 	-0.094327466	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, L, L		 at 	-0.094327937	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, L, R		 at 	-0.094328094	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L, R		 at 	-0.094329664	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L, R		 at 	-0.094329821	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L		 at 	-0.094330449	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L	0	 at 	-0.094330606			PREZERO after 16 iterates
