C, r, R, R, R, R, L, L, L, L, R, R, R, L		 at 	-0.093592706	
C, r, R, R, R, R, L, L, L, L, R, R, L, r		 at 	-0.093592863	
C, r, R, R, R, R, L, L, L, L, R, R, L, R		 at 	-0.09359302	
C, r, R, R, R, R, L, L, L, L, R, L, r, R		 at 	-0.093593491	
C, r, R, R, R, R, L, L, L, L, R, L, R, L		 at 	-0.093593805	
C, r, R, R, R, R, L, L, L, R, L, R, R, R		 at 	-0.09360244	
C, r, R, R, R, R, L, L, L, R, L, R, R, R		 at 	-0.093602597	
C, r, R, R, R, R, L, L, L, R, L, R, R, r		 at 	-0.093602754	
C, r, R, R, R, R, L, L, L, R, L, R, L, L		 at 	-0.093602911	
C, r, R, R, R, R, L, L, L, R, L, L, L, r		 at 	-0.093603539	
C, r, R, R, R, R, L, L, L, R, L, L, R, R		 at 	-0.093603696	
C, r, R, R, R, R, L, L, L, R, R, R, L, R		 at 	-0.09360715	
C, r, R, R, R, R, L, L, L, R, R, R, L, R		 at 	-0.093607307	
C, r, R, R, R, R, L, L, L, R, R, R, R, L		 at 	-0.093607778	
C, r, R, R, R, R, L, L, L, R, R, R, R, L	0	 at 	-0.093607935			PREZERO after 14 iterates
C, r, R, R, R, R, L, L, L, R, R, R, R, R		 at 	-0.093608092	
C, r, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.093650168	
C, r, R, R, R, R, L, L, r, R, R, R, R, R	0	 at 	-0.093651424			PREZERO after 14 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, L	0	 at 	-0.093653779			PREZERO after 14 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, L		 at 	-0.093656605	
C, r, R, R, R, R, L, R, r, R, R, R, R, L		 at 	-0.093656762	
C, r, R, R, R, R, L, R, r, R, R, R, R, L	0	 at 	-0.093659588			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R	0	 at 	-0.093661943			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.093663199	
C, r, R, R, R, R, L, R, L, R, R, R, R, R		 at 	-0.093708886	
C, r, R, R, R, R, L, R, L, R, R, R, R, R	0	 at 	-0.093709043			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, L, R, R, R, R, L		 at 	-0.0937092	
C, r, R, R, R, R, L, R, L, R, R, L, r, R		 at 	-0.093710927	
C, r, R, R, R, R, L, R, L, R, R, L, L, R		 at 	-0.093711084	
C, r, R, R, R, R, L, R, L, R, L, L, R, L		 at 	-0.093714224	
C, r, R, R, R, R, L, R, L, R, L, L, L, L		 at 	-0.093714381	
C, r, R, R, R, R, L, R, L, L, L, R, R, R		 at 	-0.093722859	
C, r, R, R, R, R, L, R, L, L, L, R, R, R		 at 	-0.093723016	
C, r, R, R, R, R, L, R, L, L, L, L, r, R		 at 	-0.093723644	
C, r, R, R, R, R, L, R, L, L, L, L, L, R		 at 	-0.093723801	
C, r, R, R, R, R, L, R, L, L, R, L, R, R		 at 	-0.093725842	
C, r, R, R, R, R, L, R, L, L, R, L, R, L		 at 	-0.093725999	
C, r, R, R, R, R, L, R, L, L, R, R, R, r		 at 	-0.093727255	
C, r, R, R, R, R, L, R, L, L, R, R, R, L		 at 	-0.093727412	
C, r, R, R, R, R, L, R, L, r, R, R, R, R		 at 	-0.093741385	
C, r, R, R, R, R, L, R, R, r, R, R, R, R		 at 	-0.093744368	
C, r, R, R, R, R, L, R, R, L, R, R, R, R		 at 	-0.093761167	
C, r, R, R, R, R, L, R, R, L, R, R, R, R		 at 	-0.093761324	
C, r, R, R, R, R, L, R, R, L, R, R, L, r		 at 	-0.093761795	
C, r, R, R, R, R, L, R, R, L, R, R, L, L		 at 	-0.093761952	
C, r, R, R, R, R, L, R, R, L, R, L, r, R		 at 	-0.093762894	
C, r, R, R, R, R, L, R, R, L, R, L, L, R		 at 	-0.093763051	
C, r, R, R, R, R, L, R, R, L, R, L, L, r		 at 	-0.093763208	
C, r, R, R, R, R, L, R, R, L, R, L, R, L		 at 	-0.093763365	
C, r, R, R, R, R, L, R, R, L, L, L, R, R		 at 	-0.093766191	
C, r, R, R, R, R, L, R, R, L, L, L, R, R		 at 	-0.093766348	
C, r, R, R, R, R, L, R, R, L, L, L, R, r		 at 	-0.093766505	
C, r, R, R, R, R, L, R, R, L, L, L, L, L		 at 	-0.093766662	
C, r, R, R, R, R, L, R, R, L, L, R, R, r		 at 	-0.093767761	
C, r, R, R, R, R, L, R, R, L, L, R, R, R		 at 	-0.093767918	
C, r, R, R, R, R, L, R, R, R, L, R, R, R		 at 	-0.09378142	
C, r, R, R, R, R, L, R, R, R, L, R, R, L		 at 	-0.093781734	
C, r, R, R, R, R, L, R, R, R, L, R, L, L		 at 	-0.093782205	
C, r, R, R, R, R, L, R, R, R, L, R, L, R		 at 	-0.093782362	
C, r, R, R, R, R, L, R, R, R, L, L, R, L		 at 	-0.093784089	
C, r, R, R, R, R, L, R, R, R, L, L, R, R		 at 	-0.093784246	
C, r, R, R, R, R, L, R, R, R, R, L, R, R		 at 	-0.093790055	
C, r, R, R, R, R, L, R, R, R, R, L, R, R	0	 at 	-0.093790212			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, L, R, L		 at 	-0.093790369	
C, r, R, R, R, R, L, R, R, R, R, L, L, L		 at 	-0.093790997	
C, r, R, R, R, R, L, R, R, R, R, L, L, L	0	 at 	-0.093791154			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, L, L, R		 at 	-0.093791311	
C, r, R, R, R, R, L, R, R, R, R, R, L, R		 at 	-0.09379398	
C, r, R, R, R, R, L, R, R, R, R, R, L, R	0	 at 	-0.093794137			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, R, L, L	0	 at 	-0.093794294			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, R, L, L		 at 	-0.093794451	
C, r, R, R, R, R, L, R, R, R, R, R, R, L		 at 	-0.093795707	
C, r, R, R, R, R, L, R, R, R, R, R, R, L	0	 at 	-0.093796021			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R, R	0	 at 	-0.093796335			PREZERO after 14 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R, R		 at 	-0.093796649	
C, r, R, R, R, R, r, R, R, R, R, R, R, R		 at 	-0.094313807	
C, r, R, R, R, R, r, R, R, R, R, R, R, R	0	 at 	-0.094315691			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L	0	 at 	-0.094317889			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L		 at 	-0.094318988	
C, r, R, R, R, R, r, R, R, R, R, R, L, L		 at 	-0.09432778	
C, r, R, R, R, R, r, R, R, R, R, R, L, L	0	 at 	-0.094328251			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, R	0	 at 	-0.094329507			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, R		 at 	-0.094330135	
C, r, R, R, R, R, r, R, R, R, R, L, L, R		 at 	-0.094350859	
C, r, R, R, R, R, r, R, R, R, R, L, L, R	0	 at 	-0.09435133			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, L	0	 at 	-0.094352272			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, L		 at 	-0.094352586	
C, r, R, R, R, R, r, R, R, R, R, L, R, L		 at 	-0.094358081	
C, r, R, R, R, R, r, R, R, R, R, L, R, L	0	 at 	-0.094358709			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R, R	0	 at 	-0.094359965			PREZERO after 14 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R, R		 at 	-0.09436075	
C, r, R, R, R, L, r, R, R, R, R, L, R, R		 at 	-0.094488234	
C, r, R, R, R, L, r, R, R, R, R, L, R, R	0	 at 	-0.094489019			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, L, R, L	0	 at 	-0.094490118			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, L, R, L		 at 	-0.094490746	
C, r, R, R, R, L, r, R, R, R, R, L, L, L		 at 	-0.094495927	
C, r, R, R, R, L, r, R, R, R, R, L, L, L	0	 at 	-0.094496241			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, L, L, R	0	 at 	-0.094497026			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, L, L, R		 at 	-0.094497497	
C, r, R, R, R, L, r, R, R, R, R, R, L, R		 at 	-0.094516808	
C, r, R, R, R, L, r, R, R, R, R, R, L, R	0	 at 	-0.094517436			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, R, L, L	0	 at 	-0.094518535			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, R, L, L		 at 	-0.094519163	
C, r, R, R, R, L, r, R, R, R, R, R, R, L		 at 	-0.09452717	
C, r, R, R, R, L, r, R, R, R, R, R, R, L	0	 at 	-0.094528112			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, R, R, R	0	 at 	-0.094530153			PREZERO after 14 iterates
C, r, R, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.09453188	
C, r, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.09492124	
C, r, R, R, R, L, L, R, R, R, R, R, R, R	0	 at 	-0.094921554			PREZERO after 14 iterates
C, r, R, R, R, L, L, R, R, R, R, R, R, L	0	 at 	-0.094921711			PREZERO after 14 iterates
C, r, R, R, R, L, L, R, R, R, R, R, R, L		 at 	-0.094921868	
C, r, R, R, R, L, L, R, R, R, R, R, L, L		 at 	-0.094922653	
C, r, R, R, R, L, L, R, R, R, R, R, L, R		 at 	-0.094922967	
C, r, R, R, R, L, L, R, R, R, R, L, R, L		 at 	-0.094925165	
C, r, R, R, R, L, L, R, R, R, R, L, R, R		 at 	-0.094925322	
C, r, R, R, R, L, L, R, R, R, L, L, R, R		 at 	-0.094928933	
C, r, R, R, R, L, L, R, R, R, L, L, R, L		 at 	-0.09492909	
