C, r, R, R, R, R, L, L, R, R, L, R, R, L, L		 at 	-0.093552514	
C, r, R, R, R, R, L, L, R, R, L, R, R, R, R		 at 	-0.093552671	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R		 at 	-0.093557224	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R		 at 	-0.093557852	
C, r, R, R, R, R, L, L, R, L, L, R, L, r, R		 at 	-0.093562091	
C, r, R, R, R, R, L, L, R, L, L, R, L, R, R		 at 	-0.093562248	
C, r, R, R, R, R, L, L, R, L, L, L, L, r, R		 at 	-0.093562876	
C, r, R, R, R, R, L, L, R, L, L, L, R, R, L		 at 	-0.093563033	
C, r, R, R, R, R, L, L, R, L, R, L, R, R, R		 at 	-0.093564917	
C, r, R, R, R, R, L, L, R, L, R, L, R, R, R		 at 	-0.093565074	
C, r, R, R, R, R, L, L, R, L, R, L, R, r, R		 at 	-0.093565231	
C, r, R, R, R, R, L, L, R, L, R, L, L, R, L		 at 	-0.093565388	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R		 at 	-0.093578733	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R	0	 at 	-0.093579047			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, R, r, R, R, R, R, L	0	 at 	-0.093579675			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, L	0	 at 	-0.093580774			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R	0	 at 	-0.093581559			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R		 at 	-0.093581873	
C, r, R, R, R, R, L, L, L, L, R, R, R, R, R		 at 	-0.093592392	
C, r, R, R, R, R, L, L, L, L, R, R, R, L, L		 at 	-0.093592706	
C, r, R, R, R, R, L, L, L, L, L, R, R, r, R		 at 	-0.09359616	
C, r, R, R, R, R, L, L, L, L, L, R, R, R, R		 at 	-0.093596317	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R		 at 	-0.093598986	
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R		 at 	-0.093599457	
C, r, R, R, R, R, L, L, L, R, L, R, R, R, R		 at 	-0.09360244	
C, r, R, R, R, R, L, L, L, R, L, R, R, R, L		 at 	-0.093602597	
C, r, R, R, R, R, L, L, L, R, R, R, R, L, r		 at 	-0.093607935	
C, r, R, R, R, R, L, L, L, R, R, R, R, R, L		 at 	-0.093608092	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R		 at 	-0.093649383	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R	0	 at 	-0.093649854			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L	0	 at 	-0.093650482			PREZERO after 15 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L		 at 	-0.093650796	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L		 at 	-0.093654721	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L	0	 at 	-0.093655349			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L	0	 at 	-0.093658018			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L		 at 	-0.093658646	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L		 at 	-0.093662571	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L	0	 at 	-0.093662885			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R	0	 at 	-0.093663513			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R		 at 	-0.093664141	
C, r, R, R, R, R, L, R, L, R, R, R, L, r, R		 at 	-0.093709671	
C, r, R, R, R, R, L, R, L, R, R, R, L, R, R		 at 	-0.093709985	
C, r, R, R, R, R, L, R, L, R, R, L, L, r, R		 at 	-0.093711241	
