C, r, R, L, L, R, R, L, L, R		 at 	-0.106372663	
C, r, R, L, L, R, R, L, L, R	0	 at 	-0.106373448			PREZERO after 10 iterates
C, r, R, L, L, R, R, L, L, L	0	 at 	-0.106374861			PREZERO after 10 iterates
C, r, R, L, L, R, R, L, L, L		 at 	-0.106375489	
C, r, R, L, L, R, R, L, R, L		 at 	-0.106384595	
C, r, R, L, L, R, R, L, R, L	0	 at 	-0.106385223			PREZERO after 10 iterates
C, r, R, L, L, R, R, L, R, R	0	 at 	-0.106387264			PREZERO after 10 iterates
C, r, R, L, L, R, R, L, R, R		 at 	-0.10638852	
C, r, R, L, L, R, R, r, R, R		 at 	-0.106426985	
C, r, R, L, L, R, R, r, R, R	0	 at 	-0.106431067			PREZERO after 10 iterates
C, r, R, L, L, R, R, r, R, L	0	 at 	-0.106442999			PREZERO after 10 iterates
C, r, R, L, L, R, L, r, R, L	0	 at 	-0.106455088			PREZERO after 10 iterates
C, r, R, L, L, R, L, r, R, R	0	 at 	-0.106466078			PREZERO after 10 iterates
C, r, R, L, L, R, L, r, R, R		 at 	-0.106469532	
C, r, R, L, L, R, L, L, R, R		 at 	-0.106497635	
C, r, R, L, L, R, L, L, R, R	0	 at 	-0.106498263			PREZERO after 10 iterates
C, r, R, L, L, R, L, L, R, L	0	 at 	-0.106499676			PREZERO after 10 iterates
C, r, R, L, L, R, L, L, R, L		 at 	-0.10649999	
C, r, R, L, L, R, L, L, L, L		 at 	-0.106505485	
C, r, R, L, L, R, L, L, L, L	0	 at 	-0.106505799			PREZERO after 10 iterates
C, r, R, L, L, R, L, L, L, R	0	 at 	-0.106506584			PREZERO after 10 iterates
C, r, R, L, L, R, L, L, L, R		 at 	-0.106507055	
C, r, R, L, L, R, L, L, r, R		 at 	-0.106514905	
C, r, R, L, L, R, L, R, r, R		 at 	-0.106519929	
C, r, R, L, L, R, L, R, L, R		 at 	-0.106529035	
C, r, R, L, L, R, L, R, L, R	0	 at 	-0.106529506			PREZERO after 10 iterates
C, r, R, L, L, R, L, R, L, L	0	 at 	-0.106530605			PREZERO after 10 iterates
C, r, R, L, L, R, L, R, L, L		 at 	-0.106531076	
C, r, R, L, L, R, L, R, R, L		 at 	-0.106538926	
C, r, R, L, L, R, L, R, R, L	0	 at 	-0.106539554			PREZERO after 10 iterates
C, r, R, L, L, R, L, R, R, R	0	 at 	-0.106541752			PREZERO after 10 iterates
C, r, R, L, L, R, L, R, R, R		 at 	-0.106543008	
C, r, R, L, L, R, r, R, R, R		 at 	-0.106638621	
C, r, R, L, L, R, r, R, R, R	0	 at 	-0.106642546			PREZERO after 10 iterates
C, r, R, L, L, R, r, R, R, L	0	 at 	-0.106649454			PREZERO after 10 iterates
C, r, R, L, L, R, r, R, R, L		 at 	-0.106651966	
C, r, R, L, L, R, r, R, L, L		 at 	-0.106711312	
C, r, R, L, L, L, r, R, L, L		 at 	-0.106711783	
C, r, R, L, L, L, r, R, R, L		 at 	-0.106768146	
C, r, R, L, L, L, r, R, R, L	0	 at 	-0.106770344			PREZERO after 10 iterates
C, r, R, L, L, L, r, R, R, R	0	 at 	-0.106776624			PREZERO after 10 iterates
C, r, R, L, L, L, r, R, R, R		 at 	-0.106779921	
C, r, R, L, L, L, L, R, R, R		 at 	-0.106858107	
C, r, R, L, L, L, L, R, R, R	0	 at 	-0.106859049			PREZERO after 10 iterates
C, r, R, L, L, L, L, R, R, L	0	 at 	-0.106860619			PREZERO after 10 iterates
C, r, R, L, L, L, L, R, R, L		 at 	-0.106861247	
C, r, R, L, L, L, L, R, L, L		 at 	-0.106867056	
C, r, R, L, L, L, L, R, L, L	0	 at 	-0.10686737			PREZERO after 10 iterates
C, r, R, L, L, L, L, R, L, R	0	 at 	-0.106868155			PREZERO after 10 iterates
C, r, R, L, L, L, L, R, L, R		 at 	-0.106868626	
C, r, R, L, L, L, L, R, r, R		 at 	-0.106875063	
C, r, R, L, L, L, L, L, r, R		 at 	-0.106878988	
C, r, R, L, L, L, L, L, L, R		 at 	-0.106884483	
C, r, R, L, L, L, L, L, L, R	0	 at 	-0.106884797			PREZERO after 10 iterates
C, r, R, L, L, L, L, L, L, L	0	 at 	-0.106885268			PREZERO after 10 iterates
C, r, R, L, L, L, L, L, L, L		 at 	-0.106885582	
C, r, R, L, L, L, L, L, R, L		 at 	-0.10688935	
C, r, R, L, L, L, L, L, R, L	0	 at 	-0.106889664			PREZERO after 10 iterates
C, r, R, L, L, L, L, L, R, R	0	 at 	-0.106890606			PREZERO after 10 iterates
C, r, R, L, L, L, L, L, R, R		 at 	-0.106891077	
C, r, R, L, L, L, L, r, R, R		 at 	-0.106909917	
C, r, R, L, L, L, L, r, R, R	0	 at 	-0.106912115			PREZERO after 10 iterates
C, r, R, L, L, L, L, r, R, L	0	 at 	-0.106918709			PREZERO after 10 iterates
C, r, R, L, L, L, R, r, R, L	0	 at 	-0.1069286			PREZERO after 10 iterates
C, r, R, L, L, L, R, r, R, R	0	 at 	-0.106935508			PREZERO after 10 iterates
C, r, R, L, L, L, R, r, R, R		 at 	-0.106937863	
C, r, R, L, L, L, R, L, R, R		 at 	-0.106960628	
C, r, R, L, L, L, R, L, R, R	0	 at 	-0.106961256			PREZERO after 10 iterates
C, r, R, L, L, L, R, L, R, L	0	 at 	-0.106962355			PREZERO after 10 iterates
C, r, R, L, L, L, R, L, R, L		 at 	-0.106962826	
C, r, R, L, L, L, R, L, L, L		 at 	-0.106968007	
C, r, R, L, L, L, R, L, L, L	0	 at 	-0.106968164			PREZERO after 10 iterates
C, r, R, L, L, L, R, L, L, R	0	 at 	-0.106969106			PREZERO after 10 iterates
C, r, R, L, L, L, R, L, L, R		 at 	-0.10696942	
C, r, R, L, L, L, R, L, r, R		 at 	-0.10697727	
C, r, R, L, L, L, R, R, r, R		 at 	-0.106983079	
C, r, R, L, L, L, R, R, L, R		 at 	-0.106993598	
C, r, R, L, L, L, R, R, L, R	0	 at 	-0.106994226			PREZERO after 10 iterates
C, r, R, L, L, L, R, R, L, L	0	 at 	-0.106995639			PREZERO after 10 iterates
C, r, R, L, L, L, R, R, L, L		 at 	-0.10699611	
C, r, R, L, L, L, R, R, R, L		 at 	-0.107006629	
C, r, R, L, L, L, R, R, R, L	0	 at 	-0.107007571			PREZERO after 10 iterates
C, r, R, L, L, L, R, R, R, R	0	 at 	-0.107010711			PREZERO after 10 iterates
C, r, R, L, L, L, R, R, R, R		 at 	-0.107012595	
C, r, R, L, L, r, R, R, R, R		 at 	-0.107340882	
C, r, R, L, L, r, R, R, R, R	0	 at 	-0.107346691			PREZERO after 10 iterates
C, r, R, L, L, r, R, R, R, L	0	 at 	-0.107356425			PREZERO after 10 iterates
C, r, R, L, L, r, R, R, R, L		 at 	-0.107359565	
C, r, R, L, L, r, R, R, L, L		 at 	-0.107397245	
C, r, R, L, L, r, R, R, L, L	0	 at 	-0.107399286			PREZERO after 10 iterates
C, r, R, L, L, r, R, R, L, R	0	 at 	-0.107404624			PREZERO after 10 iterates
C, r, R, L, L, r, R, R, L, R		 at 	-0.10740745	
C, r, R, L, L, r, R, R, r, R		 at 	-0.107456277	
C, r, R, L, L, r, R, L, r, R		 at 	-0.107494742	
C, r, R, L, L, r, R, L, L, R		 at 	-0.107564293	
C, r, R, L, L, r, R, L, L, R	0	 at 	-0.107569631			PREZERO after 10 iterates
C, r, R, L, L, r, R, L, L, L	0	 at 	-0.107580935			PREZERO after 10 iterates
C, r, R, L, L, r, R, L, L, L		 at 	-0.107585645	
C, r, R, L, R, r, R, L, L, L		 at 	-0.107743116	
C, r, R, L, R, r, R, L, L, L	0	 at 	-0.107747983			PREZERO after 10 iterates
C, r, R, L, R, r, R, L, L, R	0	 at 	-0.107759601			PREZERO after 10 iterates
C, r, R, L, R, r, R, L, L, R		 at 	-0.107764939	
C, r, R, L, R, r, R, L, r, R		 at 	-0.107836217	
C, r, R, L, R, r, R, R, r, R		 at 	-0.107878293	
C, r, R, L, R, r, R, R, L, R		 at 	-0.107929632	
C, r, R, L, R, r, R, R, L, R	0	 at 	-0.107932615			PREZERO after 10 iterates
C, r, R, L, R, r, R, R, L, L	0	 at 	-0.107938424			PREZERO after 10 iterates
C, r, R, L, R, r, R, R, L, L		 at 	-0.107940622	
C, r, R, L, R, r, R, R, R, L		 at 	-0.107981128	
C, r, R, L, R, r, R, R, R, L	0	 at 	-0.107984582			PREZERO after 10 iterates
C, r, R, L, R, r, R, R, R, R	0	 at 	-0.107995258			PREZERO after 10 iterates
C, r, R, L, R, r, R, R, R, R		 at 	-0.108001538	
C, r, R, L, R, L, R, R, R, R		 at 	-0.108380065	
C, r, R, L, R, L, R, R, R, R	0	 at 	-0.10838242			PREZERO after 10 iterates
C, r, R, L, R, L, R, R, R, L	0	 at 	-0.108386188			PREZERO after 10 iterates
C, r, R, L, R, L, R, R, R, L		 at 	-0.108387287	
C, r, R, L, R, L, R, R, L, L		 at 	-0.108400004	
C, r, R, L, R, L, R, R, L, L	0	 at 	-0.108400632			PREZERO after 10 iterates
C, r, R, L, R, L, R, R, L, R	0	 at 	-0.108402359			PREZERO after 10 iterates
C, r, R, L, R, L, R, R, L, R		 at 	-0.108403144	
C, r, R, L, R, L, R, R, r, R		 at 	-0.108415233	
C, r, R, L, R, L, R, L, r, R		 at 	-0.108423711	
C, r, R, L, R, L, R, L, L, R		 at 	-0.108432817	
C, r, R, L, R, L, R, L, L, R	0	 at 	-0.108433288			PREZERO after 10 iterates
C, r, R, L, R, L, R, L, L, L	0	 at 	-0.10843423			PREZERO after 10 iterates
C, r, R, L, R, L, R, L, L, L		 at 	-0.108434544	
C, r, R, L, R, L, R, L, R, L		 at 	-0.108440824	
C, r, R, L, R, L, R, L, R, L	0	 at 	-0.108441295			PREZERO after 10 iterates
C, r, R, L, R, L, R, L, R, R	0	 at 	-0.108442708			PREZERO after 10 iterates
C, r, R, L, R, L, R, L, R, R		 at 	-0.108443493	
C, r, R, L, R, L, R, r, R, R		 at 	-0.108470654	
C, r, R, L, R, L, R, r, R, R	0	 at 	-0.10847348			PREZERO after 10 iterates
C, r, R, L, R, L, R, r, R, L	0	 at 	-0.108480388			PREZERO after 10 iterates
C, r, R, L, R, L, R, r, R, L		 at 	-0.108484627	
C, r, R, L, R, L, L, r, R, L		 at 	-0.108495146	
C, r, R, L, R, L, L, r, R, L	0	 at 	-0.108499228			PREZERO after 10 iterates
C, r, R, L, R, L, L, r, R, R	0	 at 	-0.108505665			PREZERO after 10 iterates
C, r, R, L, R, L, L, r, R, R		 at 	-0.108508177	
C, r, R, L, R, L, L, L, R, R		 at 	-0.108531099	
C, r, R, L, R, L, L, L, R, R	0	 at 	-0.108531727			PREZERO after 10 iterates
C, r, R, L, R, L, L, L, R, L	0	 at 	-0.108532826			PREZERO after 10 iterates
