C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, R, r		 at 	-0.093302884	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, R, R		 at 	-0.093303041	
C, r, R, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R		 at 	-0.09332141	
C, r, R, R, R, R, L, r, R, R, R, R, R, r, R, R, R, R		 at 	-0.093323608	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R, R		 at 	-0.093340564	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R, R		 at 	-0.093340721	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R, r		 at 	-0.093340878	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, L, L		 at 	-0.093341035	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L, L, L		 at 	-0.093341663	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L, R, R		 at 	-0.09334182	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, L, R, R		 at 	-0.093343076	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, L, L, R		 at 	-0.09334339	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R, R		 at 	-0.093349513	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R, L		 at 	-0.09334967	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L, L, L		 at 	-0.093350455	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L, R, R		 at 	-0.093350612	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R, R		 at 	-0.093352653	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R, R		 at 	-0.09335281	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R, r		 at 	-0.093352967	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, L, L		 at 	-0.093353124	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L, R		 at 	-0.093354066	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L, L		 at 	-0.093354223	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R, L		 at 	-0.093354694	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R, L	0	 at 	-0.093354851			PREZERO after 18 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R, R		 at 	-0.093355008	
C, r, R, R, R, R, L, L, R, R, R, R, r, R, R, R, R, R		 at 	-0.093545449	
C, r, R, R, R, R, L, L, R, R, R, L, r, R, R, R, R, L		 at 	-0.093545606	
C, r, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R, R		 at 	-0.093548746	
C, r, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R, R		 at 	-0.093548903	
C, r, R, R, R, R, L, L, R, R, L, r, R, R, R, R, L, r		 at 	-0.093549217	
C, r, R, R, R, R, L, L, R, R, L, r, R, R, R, R, R, R		 at 	-0.093549374	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, r, R		 at 	-0.093558009	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.093558323	
C, r, R, R, R, R, L, L, R, L, L, R, R, L, r, R, R, R		 at 	-0.093561934	
C, r, R, R, R, R, L, L, R, L, L, R, L, r, R, R, R, R		 at 	-0.093562091	
C, r, R, R, R, R, L, L, R, L, L, r, R, R, R, R, L, L		 at 	-0.093563975	
