C, r, R, R, L, L, L, R, L, R, L		 at 	-0.09842077	
C, r, R, R, L, L, L, R, L, L, L		 at 	-0.098423439	
C, r, R, R, L, L, L, R, L, L, L	0	 at 	-0.098423596			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, L, L, R	0	 at 	-0.09842391			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, L, L, R		 at 	-0.098424224	
C, r, R, R, L, L, L, R, R, L, R		 at 	-0.098435214	
C, r, R, R, L, L, L, R, R, L, R	0	 at 	-0.098435685			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, R, L, L	0	 at 	-0.098436313			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, R, L, L		 at 	-0.098436627	
C, r, R, R, L, L, L, R, R, R, L		 at 	-0.098441494	
C, r, R, R, L, L, L, R, R, R, L	0	 at 	-0.098441965			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, R, R, R	0	 at 	-0.098443378			PREZERO after 11 iterates
C, r, R, R, L, L, L, R, R, R, R		 at 	-0.09844432	
C, r, R, R, L, L, r, R, R, R, R		 at 	-0.098616549	
C, r, R, R, L, L, r, R, R, R, R	0	 at 	-0.098621259			PREZERO after 11 iterates
C, r, R, R, L, L, r, R, R, R, L	0	 at 	-0.098628638			PREZERO after 11 iterates
C, r, R, R, L, L, r, R, R, R, L		 at 	-0.098631621	
C, r, R, R, L, L, r, R, R, L, L		 at 	-0.09867668	
C, r, R, R, L, L, r, R, R, L, L	0	 at 	-0.098683274			PREZERO after 11 iterates
C, r, R, R, L, R, r, R, R, L, L	0	 at 	-0.098716244			PREZERO after 11 iterates
C, r, R, R, L, R, r, R, R, L, L		 at 	-0.098722838	
C, r, R, R, L, R, r, R, R, R, L		 at 	-0.098768996	
C, r, R, R, L, R, r, R, R, R, L	0	 at 	-0.098772293			PREZERO after 11 iterates
C, r, R, R, L, R, r, R, R, R, R	0	 at 	-0.098779829			PREZERO after 11 iterates
C, r, R, R, L, R, r, R, R, R, R		 at 	-0.098784853	
C, r, R, R, L, R, L, R, R, R, R		 at 	-0.098976393	
C, r, R, R, L, R, L, R, R, R, R	0	 at 	-0.098977649			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, R, R, L	0	 at 	-0.098979219			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, R, R, L		 at 	-0.098979847	
C, r, R, R, L, R, L, R, R, L, L		 at 	-0.098985656	
C, r, R, R, L, R, L, R, R, L, L	0	 at 	-0.09898597			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, R, L, R	0	 at 	-0.098986755			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, R, L, R		 at 	-0.098987226	
C, r, R, R, L, R, L, R, L, L, R		 at 	-0.099000414	
C, r, R, R, L, R, L, R, L, L, R	0	 at 	-0.099000728			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, L, L, L	0	 at 	-0.099001199			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, L, L, L		 at 	-0.099001356	
C, r, R, R, L, R, L, R, L, R, L		 at 	-0.099004339	
C, r, R, R, L, R, L, R, L, R, L	0	 at 	-0.099004653			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, L, R, R	0	 at 	-0.099005281			PREZERO after 11 iterates
C, r, R, R, L, R, L, R, L, R, R		 at 	-0.099005752	
C, r, R, R, L, R, L, R, r, R, R		 at 	-0.099021923	
C, r, R, R, L, R, L, L, r, R, R		 at 	-0.099029302	
C, r, R, R, L, R, L, L, L, R, R		 at 	-0.099043589	
C, r, R, R, L, R, L, L, L, R, R	0	 at 	-0.099043903			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, L, R, L	0	 at 	-0.099044531			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, L, R, L		 at 	-0.099044688	
C, r, R, R, L, R, L, L, L, L, L		 at 	-0.0990472	
C, r, R, R, L, R, L, L, L, L, L	0	 at 	-0.099047357			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, L, L, R	0	 at 	-0.099047671			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, L, L, R		 at 	-0.099047828	
C, r, R, R, L, R, L, L, R, L, R		 at 	-0.099057248	
C, r, R, R, L, R, L, L, R, L, R	0	 at 	-0.099057562			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, R, L, L	0	 at 	-0.099058033			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, R, L, L		 at 	-0.09905819	
C, r, R, R, L, R, L, L, R, R, L		 at 	-0.099061801	
C, r, R, R, L, R, L, L, R, R, L	0	 at 	-0.099062272			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, R, R, R	0	 at 	-0.099063214			PREZERO after 11 iterates
C, r, R, R, L, R, L, L, R, R, R		 at 	-0.099063842	
C, r, R, R, L, R, L, r, R, R, R		 at 	-0.099118635	
C, r, R, R, L, R, L, r, R, R, R	0	 at 	-0.09912256			PREZERO after 11 iterates
C, r, R, R, L, R, L, r, R, R, L	0	 at 	-0.09913041			PREZERO after 11 iterates
C, r, R, R, L, R, L, r, R, R, L		 at 	-0.099135748	
C, r, R, R, L, R, R, r, R, R, L		 at 	-0.099151762	
C, r, R, R, L, R, R, r, R, R, L	0	 at 	-0.099157414			PREZERO after 11 iterates
C, r, R, R, L, R, R, r, R, R, R	0	 at 	-0.099165892			PREZERO after 11 iterates
C, r, R, R, L, R, R, r, R, R, R		 at 	-0.099170131	
C, r, R, R, L, R, R, L, R, R, R		 at 	-0.099239839	
C, r, R, R, L, R, R, L, R, R, R	0	 at 	-0.099240781			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, R, R, L	0	 at 	-0.099242194			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, R, R, L		 at 	-0.099242822	
C, r, R, R, L, R, R, L, R, L, L		 at 	-0.09924816	
C, r, R, R, L, R, R, L, R, L, L	0	 at 	-0.099248474			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, R, L, R	0	 at 	-0.099249102			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, R, L, R		 at 	-0.099249573	
C, r, R, R, L, R, R, L, L, L, R		 at 	-0.099264174	
C, r, R, R, L, R, R, L, L, L, R	0	 at 	-0.099264488			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, L, L, L	0	 at 	-0.099265116			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, L, L, L		 at 	-0.09926543	
C, r, R, R, L, R, R, L, L, R, L		 at 	-0.099269198	
C, r, R, R, L, R, R, L, L, R, L	0	 at 	-0.099269669			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, L, R, R	0	 at 	-0.099270454			PREZERO after 11 iterates
C, r, R, R, L, R, R, L, L, R, R		 at 	-0.099271082	
C, r, R, R, L, R, R, L, r, R, R		 at 	-0.09929526	
C, r, R, R, L, R, R, R, r, R, R		 at 	-0.099309704	
C, r, R, R, L, R, R, R, L, R, R		 at 	-0.099341889	
C, r, R, R, L, R, R, R, L, R, R	0	 at 	-0.099342831			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, L, R, L	0	 at 	-0.099344244			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, L, R, L		 at 	-0.099344715	
C, r, R, R, L, R, R, R, L, L, L		 at 	-0.099351466	
C, r, R, R, L, R, R, R, L, L, L	0	 at 	-0.099351937			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, L, L, R	0	 at 	-0.099353036			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, L, L, R		 at 	-0.099353664	
C, r, R, R, L, R, R, R, R, L, R		 at 	-0.099385221	
C, r, R, R, L, R, R, R, R, L, R	0	 at 	-0.09938632			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, R, L, L	0	 at 	-0.099388204			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, R, L, L		 at 	-0.099389146	
C, r, R, R, L, R, R, R, R, R, L		 at 	-0.099404532	
C, r, R, R, L, R, R, R, R, R, L	0	 at 	-0.099406416			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, R, R, R	0	 at 	-0.099410969			PREZERO after 11 iterates
C, r, R, R, L, R, R, R, R, R, R		 at 	-0.099414109	
C, r, R, R, r, R, R, R, R, R, R		 at 	-0.10171306	
C, r, R, R, r, R, R, R, R, R, R	0	 at 	-0.101721852			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, R, R, L	0	 at 	-0.101734726			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, R, R, L		 at 	-0.101739279	
C, r, R, R, r, R, R, R, R, L, L		 at 	-0.101783396	
C, r, R, R, r, R, R, R, R, L, L	0	 at 	-0.101785908			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, R, L, R	0	 at 	-0.101791403			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, R, L, R		 at 	-0.101794543	
C, r, R, R, r, R, R, R, L, L, R		 at 	-0.101890627	
C, r, R, R, r, R, R, R, L, L, R	0	 at 	-0.101892511			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, L, L, L	0	 at 	-0.101895808			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, L, L, L		 at 	-0.101897221	
C, r, R, R, r, R, R, R, L, R, L		 at 	-0.101918102	
C, r, R, R, r, R, R, R, L, R, L	0	 at 	-0.101919829			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, L, R, R	0	 at 	-0.101924539			PREZERO after 11 iterates
C, r, R, R, r, R, R, R, L, R, R		 at 	-0.101927365	
C, r, R, R, r, R, R, R, r, R, R		 at 	-0.102026432	
C, r, R, R, r, R, R, R, r, R, R	0	 at 	-0.102042132			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, r, R, R	0	 at 	-0.102088447			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, r, R, R		 at 	-0.102103205	
C, r, R, R, r, R, R, L, L, R, R		 at 	-0.102186886	
C, r, R, R, r, R, R, L, L, R, R	0	 at 	-0.102189084			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, L, R, L	0	 at 	-0.102192538			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, L, R, L		 at 	-0.102193951	
C, r, R, R, r, R, R, L, L, L, L		 at 	-0.102209337	
C, r, R, R, r, R, R, L, L, L, L	0	 at 	-0.102210279			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, L, L, R	0	 at 	-0.102212634			PREZERO after 11 iterates
C, r, R, R, r, R, R, L, L, L, R		 at 	-0.102214047	
C, r, R, R, r, R, R, L, R, L, R		 at 	-0.102276219	
C, r, R, R, r, R, R, L, R, L, R	0	 at 	-0.102277946			PREZERO after 11 iterates
