C, r, R, R, R, R, L, R, R, L, R, R, L		 at 	-0.093761952	
C, r, R, R, R, R, L, R, R, L, R, L, L		 at 	-0.093763051	
C, r, R, R, R, R, L, R, R, L, R, L, L	0	 at 	-0.093763208			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, L, R, L, R		 at 	-0.093763365	
C, r, R, R, R, R, L, R, R, L, L, L, R		 at 	-0.093766348	
C, r, R, R, R, R, L, R, R, L, L, L, R	0	 at 	-0.093766505			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, L, L, L, L		 at 	-0.093766662	
C, r, R, R, R, R, L, R, R, L, L, R, L		 at 	-0.093767447	
C, r, R, R, R, R, L, R, R, L, L, R, R		 at 	-0.093767761	
C, r, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.093781577	
C, r, R, R, R, R, L, R, R, R, L, R, R	0	 at 	-0.093781734			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, L, R, L	0	 at 	-0.093782048			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, L, R, L		 at 	-0.093782205	
C, r, R, R, R, R, L, R, R, R, L, L, L		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, L	0	 at 	-0.093783775			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, L, L, R	0	 at 	-0.093783932			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, L, L, R		 at 	-0.093784089	
C, r, R, R, R, R, L, R, R, R, R, L, R		 at 	-0.093790212	
C, r, R, R, R, R, L, R, R, R, R, L, R	0	 at 	-0.093790526			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, R, L, L	0	 at 	-0.09379084			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, R, L, L		 at 	-0.093791154	
C, r, R, R, R, R, L, R, R, R, R, R, L		 at 	-0.093794137	
C, r, R, R, R, R, L, R, R, R, R, R, L	0	 at 	-0.093794608			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R	0	 at 	-0.093795393			PREZERO after 13 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R		 at 	-0.093796178	
C, r, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.094316947	
C, r, R, R, R, R, r, R, R, R, R, R, R	0	 at 	-0.094321029			PREZERO after 13 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L	0	 at 	-0.094326367			PREZERO after 13 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L		 at 	-0.094328879	
C, r, R, R, R, R, r, R, R, R, R, L, L		 at 	-0.094351801	
C, r, R, R, R, R, r, R, R, R, R, L, L	0	 at 	-0.094353528			PREZERO after 13 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R	0	 at 	-0.094356982			PREZERO after 13 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R		 at 	-0.094359337	
C, r, R, R, R, L, r, R, R, R, R, L, R		 at 	-0.094489647	
C, r, R, R, R, L, r, R, R, R, R, L, R	0	 at 	-0.094491688			PREZERO after 13 iterates
C, r, R, R, R, L, r, R, R, R, R, L, L	0	 at 	-0.094494985			PREZERO after 13 iterates
C, r, R, R, R, L, r, R, R, R, R, L, L		 at 	-0.094496712	
C, r, R, R, R, L, r, R, R, R, R, R, L		 at 	-0.094518064	
C, r, R, R, R, L, r, R, R, R, R, R, L	0	 at 	-0.094520262			PREZERO after 13 iterates
C, r, R, R, R, L, r, R, R, R, R, R, R	0	 at 	-0.094525286			PREZERO after 13 iterates
C, r, R, R, R, L, r, R, R, R, R, R, R		 at 	-0.094529054	
C, r, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.094921554	
C, r, R, R, R, L, L, R, R, R, R, R, R	0	 at 	-0.094922025			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, R, R, L	0	 at 	-0.094922496			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, R, R, L		 at 	-0.09492281	
C, r, R, R, R, L, L, R, R, R, R, L, L		 at 	-0.094924694	
C, r, R, R, R, L, L, R, R, R, R, L, L	0	 at 	-0.094924851			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, R, L, L	0	 at 	-0.094925008			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, R, L, R		 at 	-0.094925165	
C, r, R, R, R, L, L, R, R, R, L, L, R		 at 	-0.094928933	
C, r, R, R, R, L, L, R, R, R, L, L, R	0	 at 	-0.09492909			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, L, L, L		 at 	-0.094929247	
C, r, R, R, R, L, L, R, R, R, L, R, L		 at 	-0.094930189	
C, r, R, R, R, L, L, R, R, R, L, R, L	0	 at 	-0.094930346			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, R, L, R, R		 at 	-0.094930503	
C, r, R, R, R, L, L, R, R, L, L, R, R		 at 	-0.094938981	
C, r, R, R, R, L, L, R, R, L, L, R, L		 at 	-0.094939138	
C, r, R, R, R, L, L, R, R, L, L, L, r		 at 	-0.094939609	
C, r, R, R, R, L, L, R, R, L, L, L, L		 at 	-0.094939766	
C, r, R, R, R, L, L, R, R, L, R, L, R		 at 	-0.09494165	
C, r, R, R, R, L, L, R, R, L, R, L, L		 at 	-0.094941807	
C, r, R, R, R, L, L, R, R, L, R, R, L		 at 	-0.094942435	
C, r, R, R, R, L, L, R, R, L, R, R, L	0	 at 	-0.094942592			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, L, R, R, R	0	 at 	-0.094942749			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, R, L, R, R, R		 at 	-0.094942906	
C, r, R, R, R, L, L, R, R, r, R, R, R		 at 	-0.094952954	
C, r, R, R, R, L, L, R, L, r, R, R, R		 at 	-0.094954995	
C, r, R, R, R, L, L, R, L, L, R, R, R		 at 	-0.094963159	
C, r, R, R, R, L, L, R, L, L, R, R, R		 at 	-0.094963316	
C, r, R, R, R, L, L, R, L, L, R, L, r		 at 	-0.094963787	
C, r, R, R, R, L, L, R, L, L, R, L, L		 at 	-0.094963944	
C, r, R, R, R, L, L, R, L, L, L, L, R		 at 	-0.094965043	
C, r, R, R, R, L, L, R, L, L, L, L, R		 at 	-0.0949652	
C, r, R, R, R, L, L, R, L, L, L, R, r		 at 	-0.094965514	
C, r, R, R, R, L, L, R, L, L, L, R, R		 at 	-0.094965671	
C, r, R, R, R, L, L, R, L, R, L, R, R		 at 	-0.094970067	
C, r, R, R, R, L, L, R, L, R, L, R, R		 at 	-0.094970224	
C, r, R, R, R, L, L, R, L, R, L, L, L		 at 	-0.094970695	
C, r, R, R, R, L, L, R, L, R, L, L, R		 at 	-0.094970852	
C, r, R, R, R, L, L, R, L, R, R, L, R		 at 	-0.094972422	
C, r, R, R, R, L, L, R, L, R, R, L, L		 at 	-0.094972579	
C, r, R, R, R, L, L, R, L, R, R, R, L		 at 	-0.094973207	
C, r, R, R, R, L, L, R, L, R, R, R, L	0	 at 	-0.094973364			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, L, R, R, R, R	0	 at 	-0.094973521			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, L, R, R, R, R		 at 	-0.094973678	
C, r, R, R, R, L, L, R, r, R, R, R, R		 at 	-0.094998641	
C, r, R, R, R, L, L, R, r, R, R, R, R	0	 at 	-0.09499974			PREZERO after 13 iterates
C, r, R, R, R, L, L, R, r, R, R, R, L	0	 at 	-0.095002095			PREZERO after 13 iterates
C, r, R, R, R, L, L, L, r, R, R, R, L	0	 at 	-0.095005706			PREZERO after 13 iterates
