C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, L		 at 	-0.093341035	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L, r		 at 	-0.093341506	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L, L		 at 	-0.093341663	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, R, L		 at 	-0.093343704	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, R, R		 at 	-0.093343861	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R		 at 	-0.093349513	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R	0	 at 	-0.09334967			PREZERO after 17 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R, L		 at 	-0.093349827	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L, r		 at 	-0.093350298	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L, L		 at 	-0.093350455	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R		 at 	-0.09335281	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R	0	 at 	-0.093352967			PREZERO after 17 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, L		 at 	-0.093353124	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L		 at 	-0.093354066	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.093354223			PREZERO after 17 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.093354537			PREZERO after 17 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.093354851	
C, r, R, R, R, R, L, L, R, R, R, R, R, L, L, R, R		 at 	-0.093543408	
C, r, R, R, R, R, L, L, R, R, R, R, R, L, R, R, R		 at 	-0.093543565	
C, r, R, R, R, R, L, L, R, R, R, R, r, R, R, R, R		 at 	-0.093545449	
C, r, R, R, R, R, L, L, R, R, R, L, r, R, R, R, R		 at 	-0.093545606	
C, r, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R		 at 	-0.093548903	
C, r, R, R, R, R, L, L, R, R, L, r, R, R, R, R, L		 at 	-0.093549217	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, R, R		 at 	-0.09355691	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, R, R		 at 	-0.093557067	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, r		 at 	-0.093558009	
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R, L		 at 	-0.093558166	
C, r, R, R, R, R, L, L, R, L, L, r, R, R, R, R, R		 at 	-0.093563818	
C, r, R, R, R, R, L, L, R, L, R, r, R, R, R, R, R		 at 	-0.093564132	
C, r, R, R, R, R, L, L, R, L, R, L, r, R, R, R, R		 at 	-0.093565545	
C, r, R, R, R, R, L, L, R, L, R, L, r, R, R, R, R		 at 	-0.093565702	
C, r, R, R, R, R, L, L, R, L, R, R, R, R, r, R, R		 at 	-0.093566644	
C, r, R, R, R, R, L, L, R, L, R, R, R, R, R, R, L		 at 	-0.093566801	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, R		 at 	-0.093578419	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, L		 at 	-0.093578576	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, r		 at 	-0.093578733	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, L, L		 at 	-0.09357889	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, L, L, R		 at 	-0.093579989	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, L, L, R	0	 at 	-0.093580146			PREZERO after 17 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, L, L, R	0	 at 	-0.09358046			PREZERO after 17 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, L, L, R		 at 	-0.093580617	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, r, R		 at 	-0.093581559	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, L, R		 at 	-0.093581716	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, R, L		 at 	-0.09358203	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, R, R		 at 	-0.093582187	
C, r, R, R, R, R, L, L, L, L, R, R, r, R, R, R, R		 at 	-0.093593177	
C, r, R, R, R, R, L, L, L, L, R, R, r, R, R, R, R		 at 	-0.093593334	
C, r, R, R, R, R, L, L, L, L, R, L, L, L, L, R, R		 at 	-0.093593648	
C, r, R, R, R, R, L, L, L, L, R, L, R, L, L, R, L		 at 	-0.093593805	
C, r, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R		 at 	-0.093594433	
C, r, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R	0	 at 	-0.09359459			PREZERO after 17 iterates
C, r, R, R, R, R, L, L, L, L, L, r, R, R, R, R, R		 at 	-0.093594747	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, L, r		 at 	-0.093599143	
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, L, L		 at 	-0.0935993	
C, r, R, R, R, R, L, L, L, R, L, R, r, R, R, R, R		 at 	-0.093603068	
C, r, R, R, R, R, L, L, L, R, L, L, r, R, R, R, R		 at 	-0.093603225	
C, r, R, R, R, R, L, L, L, R, L, L, L, r, R, R, R		 at 	-0.093603539	
C, r, R, R, R, R, L, L, L, R, L, L, R, R, L, R, R		 at 	-0.093603696	
C, r, R, R, R, R, L, L, L, R, L, r, R, R, R, R, R		 at 	-0.093604481	
C, r, R, R, R, R, L, L, L, R, R, r, R, R, R, R, L		 at 	-0.093604795	
C, r, R, R, R, R, L, L, L, R, R, R, R, R, L, L, R		 at 	-0.093608092	
C, r, R, R, R, R, L, L, L, R, R, R, R, R, R, R, R		 at 	-0.093608249	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R		 at 	-0.093648755	
