C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, R, L, R, R		 at 	-0.093718934	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, L, R, r, R		 at 	-0.093719248	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L, L, L, L		 at 	-0.093719562	
C, r, R, R, R, R, L, R, L, L, L, R, R, R, r, R, R, R, R		 at 	-0.093723016	
C, r, R, R, R, R, L, R, L, L, L, R, R, r, R, R, R, R, L		 at 	-0.093723173	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.093740129	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.093740286	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L, r, R		 at 	-0.093743112	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L, L, L		 at 	-0.093743269	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R, R, R		 at 	-0.093744839	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R, L, L		 at 	-0.093744996	
C, r, R, R, R, R, L, R, R, L, R, L, R, L, L, L, R, R, R		 at 	-0.093763365	
C, r, R, R, R, R, L, R, R, L, R, L, R, R, R, R, R, R, R		 at 	-0.093763522	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R, L, r		 at 	-0.093764778	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, L, R, L		 at 	-0.093764935	
C, r, R, R, R, R, L, R, R, L, L, R, R, r, R, R, R, R, R		 at 	-0.093767761	
C, r, R, R, R, R, L, R, R, L, L, R, R, R, r, R, R, R, R		 at 	-0.093767918	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, R, L, r		 at 	-0.093773884	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, R, R, L		 at 	-0.093774041	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, R, R, r, R		 at 	-0.093774983	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.09377514	
C, r, R, R, R, R, L, R, R, R, L, R, R, r, R, R, R, R, R		 at 	-0.093781891	
C, r, R, R, R, R, L, R, R, R, L, R, L, r, R, R, R, R, L		 at 	-0.093782048	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, L, L, L, R		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, L, L, R, R, R, R, L	0	 at 	-0.093783775			PREZERO after 19 iterates
C, r, R, R, R, R, L, R, R, R, L, L, R, r, R, R, R, R, R		 at 	-0.093783932	
C, r, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.093786287	
C, r, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.093786444	
C, r, R, R, R, R, L, R, R, R, R, r, R, R, R, R, L, R, R		 at 	-0.093786915	
C, r, R, R, R, R, L, R, R, R, R, r, R, R, R, R, L, L, L		 at 	-0.093787072	
C, r, R, R, R, R, L, R, R, R, R, L, R, R, L, r, R, R, R		 at 	-0.093790212	
C, r, R, R, R, R, L, R, R, R, R, L, R, L, r, R, R, R, R		 at 	-0.093790369	
C, r, R, R, R, R, L, R, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.093790683	
C, r, R, R, R, R, L, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.09379084	
C, r, R, R, R, R, L, R, R, R, R, L, r, R, R, R, R, L, r		 at 	-0.09379241	
C, r, R, R, R, R, L, R, R, R, R, R, r, R, R, R, R, L, R		 at 	-0.093792567	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.094311295	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.094311452	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, r, R, R, R, R		 at 	-0.094316633	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, r, R, R, R, R	0	 at 	-0.09431679			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, r, R, R, R, R	0	 at 	-0.094316947			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L, r, R, R, R, R		 at 	-0.094317104	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R, R, L, L, R		 at 	-0.094319773	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R, R, R, R, R		 at 	-0.09431993	
C, r, R, R, R, R, r, R, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.094323227	
C, r, R, R, R, R, r, R, R, R, R, R, R, r, R, R, R, R, L		 at 	-0.094323541	
C, r, R, R, R, R, r, R, R, R, R, R, L, r, R, R, R, R, L		 at 	-0.094324326	
C, r, R, R, R, R, r, R, R, R, R, R, L, r, R, R, R, R, R		 at 	-0.094324483	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, r, R, R, R, R		 at 	-0.094328722	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, r, R, R, R, R	0	 at 	-0.094328879			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, R, r, R, R, R, R		 at 	-0.094329036	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L, R, R, R, R		 at 	-0.094329664	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L, R, L, R, R		 at 	-0.094329821	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L, R, R, R		 at 	-0.094330449	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L, L, L, L		 at 	-0.094330606	
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.094339398	
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.094339555	
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, L, r		 at 	-0.094340026	
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, L, R		 at 	-0.094340183	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, L, R		 at 	-0.094342224	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, L, R		 at 	-0.094342381	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, R, L		 at 	-0.094342852	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, R, R		 at 	-0.094343009	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R, R, r, R, R		 at 	-0.094350545	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R, L, R, R, L		 at 	-0.094350702	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, r, R, R, R, R		 at 	-0.094351801	
C, r, R, R, R, R, r, R, R, R, R, L, L, L, r, R, R, R, R		 at 	-0.094351958	
C, r, R, R, R, R, r, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.094354784	
C, r, R, R, R, R, r, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.094354941	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, L, L, R, R, R		 at 	-0.094358395	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, L, R, L, R, L		 at 	-0.094358552	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, r, R, R, R, R		 at 	-0.09435918	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, r, R, R, R, R		 at 	-0.094359337	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, L, R, r, R, R		 at 	-0.094360436	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, L, L, R, R, R		 at 	-0.094360593	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, R, L, R, R, R		 at 	-0.094361221	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, R, L, L, L, L		 at 	-0.094361378	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, R, R, R, r, R		 at 	-0.094361849	
C, r, R, R, R, R, r, R, R, R, R, L, R, R, R, R, R, R, L		 at 	-0.094362006	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, R, R		 at 	-0.094398744	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, R, R	0	 at 	-0.094398901			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, R, L	0	 at 	-0.094399215			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, R, L		 at 	-0.094399372	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, L, L		 at 	-0.094400471	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, L, L	0	 at 	-0.094400628			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, R, L, R		 at 	-0.094400785	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, L, L, R		 at 	-0.094403611	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, L, L, R		 at 	-0.094403768	
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, L, R, L		 at 	-0.09440471	
